date,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2019-01-11,69.95,66.50038723976297,4.25,23.52,27.75,12.517657101414038,4.73,0.65,68.04,0.08,0.15,,,0.11,0.610732243847403,,52.88,0.52,110.12,,,134.82,986.55,0.09
2019-01-12,84.17,66.50038723976297,3.52,20.97,24.49,12.517657101414038,4.85,0.52,75.65,0.18,0.31,,,0.24,0.610732243847403,,56.29,0.52,100.38,,,129.59,988.34,0.08
2019-01-13,62.34,66.50038723976297,2.93,16.62,19.55,12.517657101414038,4.54,0.48,68.18,0.04,0.06,,,0.05,0.610732243847403,,51.88,0.5,100.13,,,138.66,986.02,0.08
2019-01-14,66.49,66.50038723976297,3.79,20.62,24.39,12.517657101414038,4.46,0.98,59.58,0.15,0.27,,,0.2,0.610732243847403,,54.75,0.44,98.21,,,131.73,986.55,0.08
2019-01-15,50.43,66.50038723976297,7.89,27.73,35.62,12.517657101414038,4.86,1.18,56.1,0.04,0.07,,,0.05,0.610732243847403,,30.03,0.31,108.97,,,133.37,974.42,0.08
2019-01-16,74.73,66.50038723976297,5.51,22.98,28.49,12.517657101414038,4.72,1.3,72.37,0.06,0.1,,,0.08,0.610732243847403,,41.97,0.47,99.83,,,142.92,980.42,0.08
2019-01-17,75.13,66.50038723976297,13.37,33.21,46.44,12.517657101414038,4.67,1.08,50.07,0.9,1.62,,,1.23,0.610732243847403,,50.34,0.35,106.83,,,136.23,984.77,0.08
2019-01-18,96.75,66.50038723976297,4.47,23.58,28.05,12.517657101414038,5.0,0.94,53.51,0.11,0.2,,,0.15,0.610732243847403,,57.56,0.42,96.53,,,138.32,988.41,0.08
2019-01-19,94.01,66.50038723976297,5.68,28.41,33.39,12.517657101414038,4.17,0.96,48.2,0.07,0.12,,,0.09,0.610732243847403,,48.87,0.32,109.99,,,136.88,984.09,0.08
2019-01-20,66.82,66.50038723976297,3.67,18.99,22.66,12.517657101414038,5.32,1.01,65.29,0.0,0.0,,,1.236758888508912,0.610732243847403,,36.68,0.47,99.07,,,126.24,977.81,0.08
2019-01-21,72.94,66.50038723976297,3.17,18.72,21.89,12.517657101414038,4.09,1.02,69.21,0.0,0.0,,,1.236758888508912,0.610732243847403,,49.27,0.66,100.97,,,135.23,984.51,0.08
2019-01-22,102.99,66.50038723976297,8.27,35.62,38.05,12.517657101414038,4.27,0.88,58.16,6.73,6.41,,,9.17,0.610732243847403,,54.41,0.46,125.77,,,128.06,987.28,0.09
2019-01-23,89.56,66.50038723976297,4.49,27.31,31.8,12.517657101414038,4.27,0.76,69.13,0.0,0.0,,,1.236758888508912,0.610732243847403,,55.93,0.54,126.99,,,142.66,988.05,0.08
